Province/ Region/ City	Population (10,000s)	In last 24 hours	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9
Portugal	2	0	0	0	Imported cases only	1	 	 	 
Andorra	1	0	0	0	Imported cases only	1	 	 	 
Armenia	1	0	0	0	Imported cases only	2	 	 	 
Belarus	1	0	0	0	Imported cases only	5	 	 	 
Latvia	1	0	0	0	Imported cases only	1	 	 	 
Lithuania	1	0	0	0	Imported cases only	5	 	 	 
Luxembourg	1	0	0	0	Imported cases only	2	 	 	 
Monaco	1	0	0	0	Under investigation	3	 	 	 
North Macedonia	1	0	0	0	Imported cases only	6	 	 	 
Poland	1	1	0	0	Imported cases only	0	 	 	 
Ukraine	1	1	0	0	Imported cases only	0	 	 	 
South-East Asia Region	 	 	 	 	 	 	 	 	 
Thailand	43.0	0.0	1.0	0.0	Local transmission	1.0	 	 	 
India	6.0	1.0	0.0	0.0	Imported cases only	0.0	 	 	 
Indonesia	2.0	0.0	0.0	0.0	Local transmission	2.0	 	 	 
Nepal	1.0	0.0	0.0	0.0	Imported cases only	40.0	 	 	 
Sri Lanka	1.0	0.0	0.0	0.0	Imported cases only	37.0	 	 	 
Eastern Mediterranean Region	 	 	 	 	 	 	 	 	 
Iran (Islamic Republic of)	2336.0	835.0	77.0	11.0	Local transmission	0.0	 	 	 
Kuwait	56.0	0.0	0.0	0.0	Imported cases only	2.0	 	 	 
Bahrain	49.0	0.0	0.0	0.0	Imported cases only	1.0	 	 	 
Iraq	31.0	5.0	0.0	0.0	Imported cases only	0.0	 	 	 
United Arab Emirates	27.0	6.0	0.0	0.0	Local transmission	0.0	 	 	 
Lebanon	13.0	0.0	0.0	0.0	Local transmission	1.0	 	 	 
Oman	12.0	6.0	0.0	0.0	Imported cases only	0.0	 	 	 
Qatar	8.0	1.0	0.0	0.0	Imported cases only	0.0	 	 	 
Pakistan	5.0	0.0	0.0	0.0	Imported cases only	1.0	 	 	 
Egypt	2.0	0.0	0.0	0.0	Imported cases only	2.0	 	 	 
Afghanistan	1.0	0.0	0.0	0.0	Imported cases only	8.0	 	 	 
Jordan	1.0	0.0	0.0	0.0	Imported cases only	1.0	 	 	 
Morocco	1.0	0.0	0.0	0.0	Imported cases only	1.0	 	 	 
Saudi Arabia	1.0	0.0	0.0	0.0	Imported cases only	1.0	 	 	 
Tunisia	1.0	0.0	0.0	0.0	Imported cases only	1.0	 	 	 
Region of the Americas	 	 	 	 	 	 	 	 	 
the United States	108.0	44.0	6.0	4.0	Local transmission	0.0	 	 	 
Canada	30.0	3.0	0.0	0.0	Local transmission	0.0	 	 	 
Ecuador	7.0	1.0	0.0	0.0	Local transmission	0.0	 	 	 
Mexico	5.0	0.0	0.0	0.0	Imported cases only	2.0	 	 	 
Brazil	2.0	0.0	0.0	0.0	Imported cases only	3.0	 	 	 
Argentina	1.0	1.0	0.0	0.0	Imported cases only	0.0	 	 	 
Chile	1.0	1.0	0.0	0.0	Imported cases only	0.0	 	 	 
Dominican Republic	1.0	0.0	0.0	0.0	Imported cases only	2.0	 	 	 
African Region	 	 	 	 	 	 	 	 	 
Algeria	5.0	0.0	0.0	0.0	Local transmission	1.0	 	 	 
Nigeria	1.0	0.0	0.0	0.0	Imported cases only	5.0	 	 	 
Senegal	1.0	0.0	0.0	0.0	Imported cases only	1.0	 	 	 
Subtotal for all regions	11963.0	2103.0	208.0	48.0	 	 	 	 	 
International conveyance (Diamond Princess) ‡	706.0	0.0	6.0	0.0	Local transmission	2.0	 	 	 
Grand total§	12669.0	2103.0	214.0	48.0	 	 	 	 	 
